date,region,metric,value,unit
2024-09-30,australia,accord_cumulative_actual,45930,dwellings
2024-12-31,australia,accord_cumulative_actual,95559,dwellings
2025-03-31,australia,accord_cumulative_actual,133455,dwellings
2025-06-30,australia,accord_cumulative_actual,174475,dwellings
2025-09-30,australia,accord_cumulative_actual,220032,dwellings
2025-12-31,australia,accord_cumulative_actual,268201,dwellings
2026-03-31,australia,accord_cumulative_actual,306383,dwellings
2024-09-30,australia,accord_cumulative_target,60000,dwellings
2024-12-31,australia,accord_cumulative_target,120000,dwellings
2025-03-31,australia,accord_cumulative_target,180000,dwellings
2025-06-30,australia,accord_cumulative_target,240000,dwellings
2025-09-30,australia,accord_cumulative_target,300000,dwellings
2025-12-31,australia,accord_cumulative_target,360000,dwellings
2026-03-31,australia,accord_cumulative_target,420000,dwellings
2024-09-30,australia,accord_quarterly_actual,45930,dwellings
2024-12-31,australia,accord_quarterly_actual,49629,dwellings
2025-03-31,australia,accord_quarterly_actual,37896,dwellings
2025-06-30,australia,accord_quarterly_actual,41020,dwellings
2025-09-30,australia,accord_quarterly_actual,45557,dwellings
2025-12-31,australia,accord_quarterly_actual,48169,dwellings
2026-03-31,australia,accord_quarterly_actual,38182,dwellings
2024-09-30,australia,accord_quarterly_target,60000,dwellings
2024-12-31,australia,accord_quarterly_target,60000,dwellings
2025-03-31,australia,accord_quarterly_target,60000,dwellings
2025-06-30,australia,accord_quarterly_target,60000,dwellings
2025-09-30,australia,accord_quarterly_target,60000,dwellings
2025-12-31,australia,accord_quarterly_target,60000,dwellings
2026-03-31,australia,accord_quarterly_target,60000,dwellings
