date,region,metric,value,unit
1976-09-30,australia,credit_housing_mom,1.6,percent
1976-10-31,australia,credit_housing_mom,1.7,percent
1976-11-30,australia,credit_housing_mom,1.8,percent
1976-12-31,australia,credit_housing_mom,1.9,percent
1977-01-31,australia,credit_housing_mom,1.8,percent
1977-02-28,australia,credit_housing_mom,1.5,percent
1977-03-31,australia,credit_housing_mom,1.7,percent
1977-04-30,australia,credit_housing_mom,1.6,percent
1977-05-31,australia,credit_housing_mom,1.4,percent
1977-06-30,australia,credit_housing_mom,1.5,percent
1977-07-31,australia,credit_housing_mom,1.5,percent
1977-08-31,australia,credit_housing_mom,1.9,percent
1977-09-30,australia,credit_housing_mom,1.6,percent
1977-10-31,australia,credit_housing_mom,1.2,percent
1977-11-30,australia,credit_housing_mom,1.2,percent
1977-12-31,australia,credit_housing_mom,1.3,percent
1978-01-31,australia,credit_housing_mom,1.3,percent
1978-02-28,australia,credit_housing_mom,1.2,percent
1978-03-31,australia,credit_housing_mom,1.1,percent
1978-04-30,australia,credit_housing_mom,1.2,percent
1978-05-31,australia,credit_housing_mom,1.2,percent
1978-06-30,australia,credit_housing_mom,1.2,percent
1978-07-31,australia,credit_housing_mom,1.2,percent
1978-08-31,australia,credit_housing_mom,1.0,percent
1978-09-30,australia,credit_housing_mom,1.2,percent
1978-10-31,australia,credit_housing_mom,1.5,percent
1978-11-30,australia,credit_housing_mom,1.4,percent
1978-12-31,australia,credit_housing_mom,1.4,percent
1979-01-31,australia,credit_housing_mom,1.4,percent
1979-02-28,australia,credit_housing_mom,1.4,percent
1979-03-31,australia,credit_housing_mom,1.0,percent
1979-04-30,australia,credit_housing_mom,1.1,percent
1979-05-31,australia,credit_housing_mom,1.3,percent
1979-06-30,australia,credit_housing_mom,1.2,percent
1979-07-31,australia,credit_housing_mom,1.2,percent
1979-08-31,australia,credit_housing_mom,1.2,percent
1979-09-30,australia,credit_housing_mom,1.3,percent
1979-10-31,australia,credit_housing_mom,1.2,percent
1979-11-30,australia,credit_housing_mom,1.2,percent
1979-12-31,australia,credit_housing_mom,1.2,percent
1980-01-31,australia,credit_housing_mom,1.1,percent
1980-02-29,australia,credit_housing_mom,1.0,percent
1980-03-31,australia,credit_housing_mom,0.9,percent
1980-04-30,australia,credit_housing_mom,3.0,percent
1980-05-31,australia,credit_housing_mom,1.3,percent
1980-06-30,australia,credit_housing_mom,1.0,percent
1980-07-31,australia,credit_housing_mom,1.3,percent
1980-08-31,australia,credit_housing_mom,1.2,percent
1980-09-30,australia,credit_housing_mom,1.1,percent
1980-10-31,australia,credit_housing_mom,1.3,percent
1980-11-30,australia,credit_housing_mom,1.4,percent
1980-12-31,australia,credit_housing_mom,1.2,percent
1981-01-31,australia,credit_housing_mom,1.2,percent
1981-02-28,australia,credit_housing_mom,1.2,percent
1981-03-31,australia,credit_housing_mom,1.1,percent
1981-04-30,australia,credit_housing_mom,0.7,percent
1981-05-31,australia,credit_housing_mom,0.8,percent
1981-06-30,australia,credit_housing_mom,1.5,percent
1981-07-31,australia,credit_housing_mom,1.3,percent
1981-08-31,australia,credit_housing_mom,0.7,percent
1981-09-30,australia,credit_housing_mom,0.7,percent
1981-10-31,australia,credit_housing_mom,0.6,percent
1981-11-30,australia,credit_housing_mom,0.5,percent
1981-12-31,australia,credit_housing_mom,0.6,percent
1982-01-31,australia,credit_housing_mom,0.6,percent
1982-02-28,australia,credit_housing_mom,0.7,percent
1982-03-31,australia,credit_housing_mom,0.5,percent
1982-04-30,australia,credit_housing_mom,0.8,percent
1982-05-31,australia,credit_housing_mom,0.6,percent
1982-06-30,australia,credit_housing_mom,0.7,percent
1982-07-31,australia,credit_housing_mom,0.8,percent
1982-08-31,australia,credit_housing_mom,0.4,percent
1982-09-30,australia,credit_housing_mom,0.4,percent
1982-10-31,australia,credit_housing_mom,0.5,percent
1982-11-30,australia,credit_housing_mom,0.5,percent
1982-12-31,australia,credit_housing_mom,0.4,percent
1983-01-31,australia,credit_housing_mom,0.5,percent
