date,region,metric,value,unit
2011-09-30,australia,dwelling_count,9002700.0,dwellings
2011-12-31,australia,dwelling_count,9037200.0,dwellings
2012-03-31,australia,dwelling_count,9063400.0,dwellings
2012-06-30,australia,dwelling_count,9097600.0,dwellings
2012-09-30,australia,dwelling_count,9130200.0,dwellings
2012-12-31,australia,dwelling_count,9166100.0,dwellings
2013-03-31,australia,dwelling_count,9193900.0,dwellings
2013-06-30,australia,dwelling_count,9226900.0,dwellings
2013-09-30,australia,dwelling_count,9261400.0,dwellings
2013-12-31,australia,dwelling_count,9299400.0,dwellings
2014-03-31,australia,dwelling_count,9329100.0,dwellings
2014-06-30,australia,dwelling_count,9366800.0,dwellings
2014-09-30,australia,dwelling_count,9416300.0,dwellings
2014-12-31,australia,dwelling_count,9467200.0,dwellings
2015-03-31,australia,dwelling_count,9511300.0,dwellings
2015-06-30,australia,dwelling_count,9562100.0,dwellings
2015-09-30,australia,dwelling_count,9613600.0,dwellings
2015-12-31,australia,dwelling_count,9673700.0,dwellings
2016-03-31,australia,dwelling_count,9715700.0,dwellings
2016-06-30,australia,dwelling_count,9774500.0,dwellings
2016-09-30,australia,dwelling_count,9829100.0,dwellings
2016-12-31,australia,dwelling_count,9884800.0,dwellings
2017-03-31,australia,dwelling_count,9927200.0,dwellings
2017-06-30,australia,dwelling_count,9974800.0,dwellings
2017-09-30,australia,dwelling_count,10022700.0,dwellings
2017-12-31,australia,dwelling_count,10071800.0,dwellings
2018-03-31,australia,dwelling_count,10111700.0,dwellings
2018-06-30,australia,dwelling_count,10161400.0,dwellings
2018-09-30,australia,dwelling_count,10213600.0,dwellings
2018-12-31,australia,dwelling_count,10264400.0,dwellings
2019-03-31,australia,dwelling_count,10303800.0,dwellings
2019-06-30,australia,dwelling_count,10350200.0,dwellings
2019-09-30,australia,dwelling_count,10393900.0,dwellings
2019-12-31,australia,dwelling_count,10441400.0,dwellings
2020-03-31,australia,dwelling_count,10476600.0,dwellings
2020-06-30,australia,dwelling_count,10518300.0,dwellings
2020-09-30,australia,dwelling_count,10568900.0,dwellings
2020-12-31,australia,dwelling_count,10622300.0,dwellings
2021-03-31,australia,dwelling_count,10667700.0,dwellings
2021-06-30,australia,dwelling_count,10720700.0,dwellings
2021-09-30,australia,dwelling_count,10772100.0,dwellings
2021-12-31,australia,dwelling_count,10813900.0,dwellings
2022-03-31,australia,dwelling_count,10847200.0,dwellings
2022-06-30,australia,dwelling_count,10886300.0,dwellings
2022-09-30,australia,dwelling_count,10926500.0,dwellings
2022-12-31,australia,dwelling_count,10969000.0,dwellings
2023-03-31,australia,dwelling_count,11003500.0,dwellings
2023-06-30,australia,dwelling_count,11041200.0,dwellings
2023-09-30,australia,dwelling_count,11081500.0,dwellings
2023-12-31,australia,dwelling_count,11126300.0,dwellings
2024-03-31,australia,dwelling_count,11158600.0,dwellings
2024-06-30,australia,dwelling_count,11200100.0,dwellings
2024-09-30,australia,dwelling_count,11241100.0,dwellings
2024-12-31,australia,dwelling_count,11286700.0,dwellings
2025-03-31,australia,dwelling_count,11320700.0,dwellings
2025-06-30,australia,dwelling_count,11357500.0,dwellings
2025-09-30,australia,dwelling_count,11398300.0,dwellings
2025-12-31,australia,dwelling_count,11441000.0,dwellings
2026-03-31,australia,dwelling_count,11495200.0,dwellings
2011-09-30,australia,mean_price,490800.0,aud
2011-12-31,australia,mean_price,486900.0,aud
2012-03-31,australia,mean_price,488600.0,aud
2012-06-30,australia,mean_price,489900.0,aud
2012-09-30,australia,mean_price,486300.0,aud
2012-12-31,australia,mean_price,496400.0,aud
2013-03-31,australia,mean_price,501100.0,aud
2013-06-30,australia,mean_price,508100.0,aud
2013-09-30,australia,mean_price,515500.0,aud
2013-12-31,australia,mean_price,532700.0,aud
2014-03-31,australia,mean_price,539300.0,aud
2014-06-30,australia,mean_price,547500.0,aud
2014-09-30,australia,mean_price,553500.0,aud
2014-12-31,australia,mean_price,568700.0,aud
2015-03-31,australia,mean_price,579300.0,aud
2015-06-30,australia,mean_price,600100.0,aud
2015-09-30,australia,mean_price,611000.0,aud
2015-12-31,australia,mean_price,611600.0,aud
2016-03-31,australia,mean_price,609300.0,aud
2016-06-30,australia,mean_price,619500.0,aud
2016-09-30,australia,mean_price,628600.0,aud
2016-12-31,australia,mean_price,651600.0,aud
2017-03-31,australia,mean_price,665000.0,aud
2017-06-30,australia,mean_price,678800.0,aud
2017-09-30,australia,mean_price,676400.0,aud
2017-12-31,australia,mean_price,689700.0,aud
2018-03-31,australia,mean_price,688000.0,aud
2018-06-30,australia,mean_price,681100.0,aud
2018-09-30,australia,mean_price,671700.0,aud
2018-12-31,australia,mean_price,661400.0,aud
2019-03-31,australia,mean_price,646000.0,aud
2019-06-30,australia,mean_price,649300.0,aud
2019-09-30,australia,mean_price,668800.0,aud
2019-12-31,australia,mean_price,686800.0,aud
2020-03-31,australia,mean_price,694700.0,aud
2020-06-30,australia,mean_price,689400.0,aud
2020-09-30,australia,mean_price,706700.0,aud
2020-12-31,australia,mean_price,738900.0,aud
2021-03-31,australia,mean_price,778300.0,aud
2021-06-30,australia,mean_price,813900.0,aud
2021-09-30,australia,mean_price,865700.0,aud
2021-12-31,australia,mean_price,916800.0,aud
2022-03-31,australia,mean_price,930600.0,aud
2022-06-30,australia,mean_price,921200.0,aud
2022-09-30,australia,mean_price,890500.0,aud
2022-12-31,australia,mean_price,891000.0,aud
2023-03-31,australia,mean_price,890900.0,aud
2023-06-30,australia,mean_price,914900.0,aud
2023-09-30,australia,mean_price,925200.0,aud
2023-12-31,australia,mean_price,949400.0,aud
2024-03-31,australia,mean_price,962100.0,aud
2024-06-30,australia,mean_price,982200.0,aud
2024-09-30,australia,mean_price,983300.0,aud
2024-12-31,australia,mean_price,1002900.0,aud
2025-03-31,australia,mean_price,1007800.0,aud
2025-06-30,australia,mean_price,1029900.0,aud
2025-09-30,australia,mean_price,1050900.0,aud
2025-12-31,australia,mean_price,1088800.0,aud
2026-03-31,australia,mean_price,1111100.0,aud
2011-09-30,vic,dwelling_count,2265600.0,dwellings
2011-12-31,vic,dwelling_count,2278300.0,dwellings
2012-03-31,vic,dwelling_count,2287700.0,dwellings
2012-06-30,vic,dwelling_count,2299200.0,dwellings
2012-09-30,vic,dwelling_count,2309800.0,dwellings
2012-12-31,vic,dwelling_count,2321600.0,dwellings
2013-03-31,vic,dwelling_count,2331500.0,dwellings
2013-06-30,vic,dwelling_count,2342000.0,dwellings
2013-09-30,vic,dwelling_count,2353000.0,dwellings
2013-12-31,vic,dwelling_count,2364500.0,dwellings
2014-03-31,vic,dwelling_count,2373700.0,dwellings
2014-06-30,vic,dwelling_count,2385200.0,dwellings
2014-09-30,vic,dwelling_count,2399800.0,dwellings
2014-12-31,vic,dwelling_count,2415800.0,dwellings
2015-03-31,vic,dwelling_count,2429000.0,dwellings
2015-06-30,vic,dwelling_count,2443700.0,dwellings
2015-09-30,vic,dwelling_count,2459600.0,dwellings
2015-12-31,vic,dwelling_count,2476600.0,dwellings
2016-03-31,vic,dwelling_count,2488000.0,dwellings
2016-06-30,vic,dwelling_count,2505800.0,dwellings
2016-09-30,vic,dwelling_count,2521000.0,dwellings
2016-12-31,vic,dwelling_count,2537900.0,dwellings
2017-03-31,vic,dwelling_count,2550500.0,dwellings
2017-06-30,vic,dwelling_count,2565000.0,dwellings
2017-09-30,vic,dwelling_count,2580800.0,dwellings
2017-12-31,vic,dwelling_count,2595200.0,dwellings
2018-03-31,vic,dwelling_count,2605600.0,dwellings
2018-06-30,vic,dwelling_count,2621700.0,dwellings
2018-09-30,vic,dwelling_count,2636700.0,dwellings
2018-12-31,vic,dwelling_count,2650800.0,dwellings
2019-03-31,vic,dwelling_count,2662200.0,dwellings
2019-06-30,vic,dwelling_count,2676600.0,dwellings
2019-09-30,vic,dwelling_count,2690400.0,dwellings
2019-12-31,vic,dwelling_count,2706700.0,dwellings
2020-03-31,vic,dwelling_count,2717600.0,dwellings
2020-06-30,vic,dwelling_count,2732000.0,dwellings
2020-09-30,vic,dwelling_count,2745200.0,dwellings
2020-12-31,vic,dwelling_count,2761200.0,dwellings
2021-03-31,vic,dwelling_count,2772500.0,dwellings
2021-06-30,vic,dwelling_count,2788300.0,dwellings
2021-09-30,vic,dwelling_count,2803600.0,dwellings
2021-12-31,vic,dwelling_count,2817200.0,dwellings
2022-03-31,vic,dwelling_count,2827100.0,dwellings
2022-06-30,vic,dwelling_count,2839300.0,dwellings
2022-09-30,vic,dwelling_count,2852600.0,dwellings
2022-12-31,vic,dwelling_count,2866600.0,dwellings
2023-03-31,vic,dwelling_count,2877500.0,dwellings
2023-06-30,vic,dwelling_count,2888100.0,dwellings
2023-09-30,vic,dwelling_count,2901000.0,dwellings
2023-12-31,vic,dwelling_count,2915400.0,dwellings
2024-03-31,vic,dwelling_count,2926100.0,dwellings
2024-06-30,vic,dwelling_count,2940700.0,dwellings
2024-09-30,vic,dwelling_count,2954300.0,dwellings
2024-12-31,vic,dwelling_count,2968200.0,dwellings
2025-03-31,vic,dwelling_count,2978500.0,dwellings
2025-06-30,vic,dwelling_count,2989700.0,dwellings
2025-09-30,vic,dwelling_count,3002000.0,dwellings
2025-12-31,vic,dwelling_count,3015100.0,dwellings
2026-03-31,vic,dwelling_count,3031500.0,dwellings
2011-09-30,vic,mean_price,512600.0,aud
2011-12-31,vic,mean_price,506600.0,aud
2012-03-31,vic,mean_price,500000.0,aud
2012-06-30,vic,mean_price,500200.0,aud
2012-09-30,vic,mean_price,491700.0,aud
2012-12-31,vic,mean_price,501700.0,aud
2013-03-31,vic,mean_price,506800.0,aud
2013-06-30,vic,mean_price,511400.0,aud
2013-09-30,vic,mean_price,523300.0,aud
2013-12-31,vic,mean_price,538100.0,aud
2014-03-31,vic,mean_price,544500.0,aud
2014-06-30,vic,mean_price,546900.0,aud
2014-09-30,vic,mean_price,550900.0,aud
2014-12-31,vic,mean_price,566900.0,aud
2015-03-31,vic,mean_price,581500.0,aud
2015-06-30,vic,mean_price,606500.0,aud
2015-09-30,vic,mean_price,616500.0,aud
2015-12-31,vic,mean_price,622800.0,aud
2016-03-31,vic,mean_price,625400.0,aud
2016-06-30,vic,mean_price,634700.0,aud
2016-09-30,vic,mean_price,646700.0,aud
2016-12-31,vic,mean_price,674200.0,aud
2017-03-31,vic,mean_price,695600.0,aud
2017-06-30,vic,mean_price,723800.0,aud
2017-09-30,vic,mean_price,717600.0,aud
2017-12-31,vic,mean_price,746900.0,aud
2018-03-31,vic,mean_price,743700.0,aud
2018-06-30,vic,mean_price,737700.0,aud
2018-09-30,vic,mean_price,717400.0,aud
2018-12-31,vic,mean_price,708600.0,aud
2019-03-31,vic,mean_price,683000.0,aud
2019-06-30,vic,mean_price,690900.0,aud
2019-09-30,vic,mean_price,715500.0,aud
2019-12-31,vic,mean_price,749100.0,aud
2020-03-31,vic,mean_price,761200.0,aud
2020-06-30,vic,mean_price,748600.0,aud
2020-09-30,vic,mean_price,757300.0,aud
2020-12-31,vic,mean_price,792400.0,aud
2021-03-31,vic,mean_price,831900.0,aud
2021-06-30,vic,mean_price,874800.0,aud
2021-09-30,vic,mean_price,900900.0,aud
2021-12-31,vic,mean_price,941800.0,aud
2022-03-31,vic,mean_price,942200.0,aud
2022-06-30,vic,mean_price,928400.0,aud
2022-09-30,vic,mean_price,901100.0,aud
2022-12-31,vic,mean_price,901300.0,aud
2023-03-31,vic,mean_price,898400.0,aud
2023-06-30,vic,mean_price,902900.0,aud
2023-09-30,vic,mean_price,904300.0,aud
2023-12-31,vic,mean_price,920700.0,aud
2024-03-31,vic,mean_price,911800.0,aud
2024-06-30,vic,mean_price,908800.0,aud
2024-09-30,vic,mean_price,893200.0,aud
2024-12-31,vic,mean_price,902300.0,aud
2025-03-31,vic,mean_price,910200.0,aud
2025-06-30,vic,mean_price,918200.0,aud
2025-09-30,vic,mean_price,926900.0,aud
2025-12-31,vic,mean_price,949500.0,aud
2026-03-31,vic,mean_price,947100.0,aud
