date,region,metric,value,unit
2002-09-30,australia,lending_first_home_buyer,4121.6,aud_million
2002-12-31,australia,lending_first_home_buyer,4045.5,aud_million
2003-03-31,australia,lending_first_home_buyer,4172.1,aud_million
2003-06-30,australia,lending_first_home_buyer,4236.2,aud_million
2003-09-30,australia,lending_first_home_buyer,4479.7,aud_million
2003-12-31,australia,lending_first_home_buyer,4363.8,aud_million
2004-03-31,australia,lending_first_home_buyer,3845.5,aud_million
2004-06-30,australia,lending_first_home_buyer,4301.6,aud_million
2004-09-30,australia,lending_first_home_buyer,4883.1,aud_million
2004-12-31,australia,lending_first_home_buyer,5237.1,aud_million
2005-03-31,australia,lending_first_home_buyer,5577.6,aud_million
2005-06-30,australia,lending_first_home_buyer,6028.4,aud_million
2005-09-30,australia,lending_first_home_buyer,6390.8,aud_million
2005-12-31,australia,lending_first_home_buyer,6819.1,aud_million
2006-03-31,australia,lending_first_home_buyer,7445.1,aud_million
2006-06-30,australia,lending_first_home_buyer,7428.3,aud_million
2006-09-30,australia,lending_first_home_buyer,7122.1,aud_million
2006-12-31,australia,lending_first_home_buyer,7149.9,aud_million
2007-03-31,australia,lending_first_home_buyer,7484.9,aud_million
2007-06-30,australia,lending_first_home_buyer,7955.2,aud_million
2007-09-30,australia,lending_first_home_buyer,8180.9,aud_million
2007-12-31,australia,lending_first_home_buyer,8033.7,aud_million
2008-03-31,australia,lending_first_home_buyer,7384.9,aud_million
2008-06-30,australia,lending_first_home_buyer,6634.3,aud_million
2008-09-30,australia,lending_first_home_buyer,7195.3,aud_million
2008-12-31,australia,lending_first_home_buyer,9043.6,aud_million
2009-03-31,australia,lending_first_home_buyer,13821.4,aud_million
2009-06-30,australia,lending_first_home_buyer,15066.3,aud_million
2009-09-30,australia,lending_first_home_buyer,13440.3,aud_million
2009-12-31,australia,lending_first_home_buyer,10751.5,aud_million
2010-03-31,australia,lending_first_home_buyer,7968.7,aud_million
2010-06-30,australia,lending_first_home_buyer,6642.1,aud_million
2010-09-30,australia,lending_first_home_buyer,6462.9,aud_million
2010-12-31,australia,lending_first_home_buyer,6281.6,aud_million
2011-03-31,australia,lending_first_home_buyer,6131.1,aud_million
2011-06-30,australia,lending_first_home_buyer,6396.1,aud_million
2011-09-30,australia,lending_first_home_buyer,6699.0,aud_million
2011-12-31,australia,lending_first_home_buyer,7528.8,aud_million
2012-03-31,australia,lending_first_home_buyer,7309.4,aud_million
2012-06-30,australia,lending_first_home_buyer,7075.6,aud_million
2012-09-30,australia,lending_first_home_buyer,7587.4,aud_million
2012-12-31,australia,lending_first_home_buyer,7025.5,aud_million
2013-03-31,australia,lending_first_home_buyer,7174.3,aud_million
2013-06-30,australia,lending_first_home_buyer,7556.4,aud_million
2013-09-30,australia,lending_first_home_buyer,7569.7,aud_million
2013-12-31,australia,lending_first_home_buyer,7565.0,aud_million
2014-03-31,australia,lending_first_home_buyer,7712.4,aud_million
2014-06-30,australia,lending_first_home_buyer,7616.9,aud_million
2014-09-30,australia,lending_first_home_buyer,7561.6,aud_million
2014-12-31,australia,lending_first_home_buyer,7429.7,aud_million
2015-03-31,australia,lending_first_home_buyer,7403.4,aud_million
2015-06-30,australia,lending_first_home_buyer,7353.3,aud_million
2015-09-30,australia,lending_first_home_buyer,7393.5,aud_million
2015-12-31,australia,lending_first_home_buyer,7160.1,aud_million
2016-03-31,australia,lending_first_home_buyer,7065.1,aud_million
2016-06-30,australia,lending_first_home_buyer,7361.8,aud_million
2016-09-30,australia,lending_first_home_buyer,7043.5,aud_million
2016-12-31,australia,lending_first_home_buyer,7050.1,aud_million
2017-03-31,australia,lending_first_home_buyer,7266.7,aud_million
2017-06-30,australia,lending_first_home_buyer,7503.5,aud_million
2017-09-30,australia,lending_first_home_buyer,9232.7,aud_million
2017-12-31,australia,lending_first_home_buyer,9552.5,aud_million
2018-03-31,australia,lending_first_home_buyer,9668.8,aud_million
2018-06-30,australia,lending_first_home_buyer,9873.7,aud_million
2018-09-30,australia,lending_first_home_buyer,9672.6,aud_million
2018-12-31,australia,lending_first_home_buyer,9205.2,aud_million
2019-03-31,australia,lending_first_home_buyer,8740.7,aud_million
2019-06-30,australia,lending_first_home_buyer,9275.2,aud_million
2019-09-30,australia,lending_first_home_buyer,10896.9,aud_million
2019-12-31,australia,lending_first_home_buyer,11822.7,aud_million
2020-03-31,australia,lending_first_home_buyer,12196.0,aud_million
2020-06-30,australia,lending_first_home_buyer,11520.9,aud_million
2020-09-30,australia,lending_first_home_buyer,15326.4,aud_million
2020-12-31,australia,lending_first_home_buyer,17754.8,aud_million
2021-03-31,australia,lending_first_home_buyer,20364.0,aud_million
2021-06-30,australia,lending_first_home_buyer,19305.2,aud_million
2021-09-30,australia,lending_first_home_buyer,17474.6,aud_million
2021-12-31,australia,lending_first_home_buyer,16595.5,aud_million
2022-03-31,australia,lending_first_home_buyer,15747.7,aud_million
2022-06-30,australia,lending_first_home_buyer,14969.1,aud_million
2022-09-30,australia,lending_first_home_buyer,13959.1,aud_million
2022-12-31,australia,lending_first_home_buyer,12704.7,aud_million
2023-03-31,australia,lending_first_home_buyer,12669.4,aud_million
2023-06-30,australia,lending_first_home_buyer,14130.9,aud_million
2023-09-30,australia,lending_first_home_buyer,13582.4,aud_million
2023-12-31,australia,lending_first_home_buyer,15019.2,aud_million
2024-03-31,australia,lending_first_home_buyer,14407.8,aud_million
2024-06-30,australia,lending_first_home_buyer,16246.9,aud_million
2024-09-30,australia,lending_first_home_buyer,15899.4,aud_million
2024-12-31,australia,lending_first_home_buyer,15705.6,aud_million
2025-03-31,australia,lending_first_home_buyer,15191.9,aud_million
2025-06-30,australia,lending_first_home_buyer,16686.2,aud_million
2025-09-30,australia,lending_first_home_buyer,16671.0,aud_million
2025-12-31,australia,lending_first_home_buyer,19206.6,aud_million
