date,region,metric,value,unit
1981-06-30,australia,natural_increase,33600.0,persons
1981-09-30,australia,natural_increase,29600.0,persons
1981-12-31,australia,natural_increase,29300.0,persons
1982-03-31,australia,natural_increase,34500.0,persons
1982-06-30,australia,natural_increase,32700.0,persons
1982-09-30,australia,natural_increase,26400.0,persons
1982-12-31,australia,natural_increase,31500.0,persons
1983-03-31,australia,natural_increase,36400.0,persons
1983-06-30,australia,natural_increase,34600.0,persons
1983-09-30,australia,natural_increase,30100.0,persons
1983-12-31,australia,natural_increase,31400.0,persons
1984-03-31,australia,natural_increase,35200.0,persons
1984-06-30,australia,natural_increase,32900.0,persons
1984-09-30,australia,natural_increase,28800.0,persons
1984-12-31,australia,natural_increase,29700.0,persons
1985-03-31,australia,natural_increase,35600.0,persons
1985-06-30,australia,natural_increase,33500.0,persons
1985-09-30,australia,natural_increase,25800.0,persons
1985-12-31,australia,natural_increase,31100.0,persons
1986-03-31,australia,natural_increase,33100.0,persons
1986-06-30,australia,natural_increase,33000.0,persons
1986-09-30,australia,natural_increase,28800.0,persons
1986-12-31,australia,natural_increase,33500.0,persons
1987-03-31,australia,natural_increase,31900.0,persons
1987-06-30,australia,natural_increase,32400.0,persons
1987-09-30,australia,natural_increase,29300.0,persons
1987-12-31,australia,natural_increase,33000.0,persons
1988-03-31,australia,natural_increase,31600.0,persons
1988-06-30,australia,natural_increase,31900.0,persons
1988-09-30,australia,natural_increase,28500.0,persons
1988-12-31,australia,natural_increase,34300.0,persons
1989-03-31,australia,natural_increase,35600.0,persons
1989-06-30,australia,natural_increase,32900.0,persons
1989-09-30,australia,natural_increase,25000.0,persons
1989-12-31,australia,natural_increase,33100.0,persons
1990-03-31,australia,natural_increase,35800.0,persons
1990-06-30,australia,natural_increase,38500.0,persons
1990-09-30,australia,natural_increase,32900.0,persons
1990-12-31,australia,natural_increase,35400.0,persons
1991-03-31,australia,natural_increase,36300.0,persons
1991-06-30,australia,natural_increase,37000.0,persons
1991-09-30,australia,natural_increase,32200.0,persons
1991-12-31,australia,natural_increase,34000.0,persons
1992-03-31,australia,natural_increase,38400.0,persons
1992-06-30,australia,natural_increase,34100.0,persons
1992-09-30,australia,natural_increase,32800.0,persons
1992-12-31,australia,natural_increase,34300.0,persons
1993-03-31,australia,natural_increase,37200.0,persons
1993-06-30,australia,natural_increase,34900.0,persons
1993-09-30,australia,natural_increase,32500.0,persons
1993-12-31,australia,natural_increase,33800.0,persons
1994-03-31,australia,natural_increase,36700.0,persons
1994-06-30,australia,natural_increase,32300.0,persons
1994-09-30,australia,natural_increase,29300.0,persons
1994-12-31,australia,natural_increase,33600.0,persons
1995-03-31,australia,natural_increase,36700.0,persons
1995-06-30,australia,natural_increase,32800.0,persons
1995-09-30,australia,natural_increase,30300.0,persons
1995-12-31,australia,natural_increase,30400.0,persons
1996-03-31,australia,natural_increase,33400.0,persons
1996-06-30,australia,natural_increase,30300.0,persons
1996-09-30,australia,natural_increase,28200.0,persons
1996-12-31,australia,natural_increase,33300.0,persons
1997-03-31,australia,natural_increase,33200.0,persons
1997-06-30,australia,natural_increase,32200.0,persons
1997-09-30,australia,natural_increase,26500.0,persons
