date,region,metric,value,unit
2022-07-31,australia,rent_index,83.19,index
2022-08-31,australia,rent_index,83.63,index
2022-09-30,australia,rent_index,84.04,index
2022-10-31,australia,rent_index,84.46,index
2022-11-30,australia,rent_index,84.65,index
2022-12-31,australia,rent_index,85.07,index
2023-01-31,australia,rent_index,85.61,index
2023-02-28,australia,rent_index,86.24,index
2023-03-31,australia,rent_index,86.61,index
2023-04-30,australia,rent_index,87.28,index
2023-05-31,australia,rent_index,88.03,index
2023-06-30,australia,rent_index,88.82,index
2023-07-31,australia,rent_index,89.52,index
2023-08-31,australia,rent_index,90.16,index
2023-09-30,australia,rent_index,90.35,index
2023-10-31,australia,rent_index,90.06,index
2023-11-30,australia,rent_index,90.68,index
2023-12-31,australia,rent_index,91.37,index
2024-01-31,australia,rent_index,92.01,index
2024-02-29,australia,rent_index,92.72,index
2024-03-31,australia,rent_index,93.3,index
2024-04-30,australia,rent_index,93.81,index
2024-05-31,australia,rent_index,94.53,index
2024-06-30,australia,rent_index,95.11,index
2024-07-31,australia,rent_index,95.7,index
2024-08-31,australia,rent_index,96.23,index
2024-09-30,australia,rent_index,96.35,index
2024-10-31,australia,rent_index,96.14,index
2024-11-30,australia,rent_index,96.68,index
2024-12-31,australia,rent_index,97.01,index
2025-01-31,australia,rent_index,97.37,index
2025-02-28,australia,rent_index,97.83,index
2025-03-31,australia,rent_index,98.14,index
2025-04-30,australia,rent_index,98.45,index
2025-05-31,australia,rent_index,98.82,index
2025-06-30,australia,rent_index,99.11,index
2025-07-31,australia,rent_index,99.44,index
2025-08-31,australia,rent_index,99.77,index
2025-09-30,australia,rent_index,100.0,index
2025-10-31,australia,rent_index,100.18,index
2025-11-30,australia,rent_index,100.58,index
2025-12-31,australia,rent_index,100.83,index
2026-01-31,australia,rent_index,101.15,index
2026-02-28,australia,rent_index,101.52,index
2026-03-31,australia,rent_index,101.73,index
2026-04-30,australia,rent_index,101.9,index
2026-05-31,australia,rent_index,102.33,index
