date,region,metric,value,unit
2016-06-30,australia,social_dwellings_public,320041.0,dwellings
2017-06-30,australia,social_dwellings_public,319913.0,dwellings
2018-06-30,australia,social_dwellings_public,316231.0,dwellings
2019-06-30,australia,social_dwellings_public,305191.0,dwellings
2020-06-30,australia,social_dwellings_public,300403.0,dwellings
2021-06-30,australia,social_dwellings_public,299520.0,dwellings
2022-06-30,australia,social_dwellings_public,297600.0,dwellings
2023-06-30,australia,social_dwellings_public,298404.0,dwellings
2024-06-30,australia,social_dwellings_public,297684.0,dwellings
2025-06-30,australia,social_dwellings_public,296541.0,dwellings
2021-06-30,australia,social_waitlist_public,163508.0,applicants
2022-06-30,australia,social_waitlist_public,174624.0,applicants
2023-06-30,australia,social_waitlist_public,169209.0,applicants
2024-06-30,australia,social_waitlist_public,168552.0,applicants
2025-06-30,australia,social_waitlist_public,189536.0,applicants
2016-06-30,vic,social_dwellings_public,64241.0,dwellings
2017-06-30,vic,social_dwellings_public,64170.0,dwellings
2018-06-30,vic,social_dwellings_public,64295.0,dwellings
2019-06-30,vic,social_dwellings_public,64428.0,dwellings
2020-06-30,vic,social_dwellings_public,64072.0,dwellings
2021-06-30,vic,social_dwellings_public,63921.0,dwellings
2022-06-30,vic,social_dwellings_public,63987.0,dwellings
2023-06-30,vic,social_dwellings_public,64720.0,dwellings
2024-06-30,vic,social_dwellings_public,64223.0,dwellings
2025-06-30,vic,social_dwellings_public,64277.0,dwellings
2021-06-30,vic,social_waitlist_public,51859.0,applicants
2022-06-30,vic,social_waitlist_public,54857.0,applicants
2023-06-30,vic,social_waitlist_public,53956.0,applicants
2024-06-30,vic,social_waitlist_public,51380.0,applicants
2025-06-30,vic,social_waitlist_public,56230.0,applicants
