date,region,metric,value,unit
1955-03-31,australia,dwellings_commenced,18113,dwellings
1955-06-30,australia,dwellings_commenced,19264,dwellings
1955-09-30,australia,dwellings_commenced,19855,dwellings
1955-12-31,australia,dwellings_commenced,18636,dwellings
1956-03-31,australia,dwellings_commenced,17469,dwellings
1956-06-30,australia,dwellings_commenced,16660,dwellings
1956-09-30,australia,dwellings_commenced,16855,dwellings
1956-12-31,australia,dwellings_commenced,16994,dwellings
1957-03-31,australia,dwellings_commenced,17125,dwellings
1957-06-30,australia,dwellings_commenced,18483,dwellings
1957-09-30,australia,dwellings_commenced,18920,dwellings
1957-12-31,australia,dwellings_commenced,17048,dwellings
1958-03-31,australia,dwellings_commenced,17886,dwellings
1958-06-30,australia,dwellings_commenced,19493,dwellings
1958-09-30,australia,dwellings_commenced,21597,dwellings
1958-12-31,australia,dwellings_commenced,18782,dwellings
1959-03-31,australia,dwellings_commenced,20350,dwellings
1959-06-30,australia,dwellings_commenced,20958,dwellings
1959-09-30,australia,dwellings_commenced,21918,dwellings
1959-12-31,australia,dwellings_commenced,21900,dwellings
1960-03-31,australia,dwellings_commenced,22569,dwellings
1960-06-30,australia,dwellings_commenced,24957,dwellings
1960-09-30,australia,dwellings_commenced,25638,dwellings
1960-12-31,australia,dwellings_commenced,23926,dwellings
1961-03-31,australia,dwellings_commenced,20136,dwellings
1961-06-30,australia,dwellings_commenced,19189,dwellings
1961-09-30,australia,dwellings_commenced,21547,dwellings
1961-12-31,australia,dwellings_commenced,19172,dwellings
1962-03-31,australia,dwellings_commenced,20348,dwellings
1962-06-30,australia,dwellings_commenced,21403,dwellings
1962-09-30,australia,dwellings_commenced,22902,dwellings
1962-12-31,australia,dwellings_commenced,21769,dwellings
1963-03-31,australia,dwellings_commenced,20849,dwellings
1963-06-30,australia,dwellings_commenced,22749,dwellings
1963-09-30,australia,dwellings_commenced,26608,dwellings
1963-12-31,australia,dwellings_commenced,25413,dwellings
1964-03-31,australia,dwellings_commenced,26807,dwellings
1964-06-30,australia,dwellings_commenced,28752,dwellings
1964-09-30,australia,dwellings_commenced,31312,dwellings
1964-12-31,australia,dwellings_commenced,28032,dwellings
1965-03-31,australia,dwellings_commenced,29131,dwellings
