date,region,metric,value,unit
2001-07-31,melbourne,approvals_dwellings_total,2885,dwellings
2001-08-31,melbourne,approvals_dwellings_total,4622,dwellings
2001-09-30,melbourne,approvals_dwellings_total,3115,dwellings
2001-10-31,melbourne,approvals_dwellings_total,3127,dwellings
2001-11-30,melbourne,approvals_dwellings_total,2738,dwellings
2001-12-31,melbourne,approvals_dwellings_total,2866,dwellings
2002-01-31,melbourne,approvals_dwellings_total,2592,dwellings
2002-02-28,melbourne,approvals_dwellings_total,2821,dwellings
2002-03-31,melbourne,approvals_dwellings_total,2600,dwellings
2002-04-30,melbourne,approvals_dwellings_total,3447,dwellings
2002-05-31,melbourne,approvals_dwellings_total,3167,dwellings
2002-06-30,melbourne,approvals_dwellings_total,3016,dwellings
2002-07-31,melbourne,approvals_dwellings_total,3178,dwellings
2002-08-31,melbourne,approvals_dwellings_total,4768,dwellings
2002-09-30,melbourne,approvals_dwellings_total,2825,dwellings
2002-10-31,melbourne,approvals_dwellings_total,3609,dwellings
2002-11-30,melbourne,approvals_dwellings_total,2419,dwellings
2002-12-31,melbourne,approvals_dwellings_total,2658,dwellings
2003-01-31,melbourne,approvals_dwellings_total,2484,dwellings
2003-02-28,melbourne,approvals_dwellings_total,2501,dwellings
2003-03-31,melbourne,approvals_dwellings_total,2512,dwellings
2003-04-30,melbourne,approvals_dwellings_total,3484,dwellings
2003-05-31,melbourne,approvals_dwellings_total,2797,dwellings
2003-06-30,melbourne,approvals_dwellings_total,3005,dwellings
2003-07-31,melbourne,approvals_dwellings_total,2755,dwellings
2003-08-31,melbourne,approvals_dwellings_total,2739,dwellings
2003-09-30,melbourne,approvals_dwellings_total,3140,dwellings
2003-10-31,melbourne,approvals_dwellings_total,4041,dwellings
2003-11-30,melbourne,approvals_dwellings_total,2517,dwellings
2003-12-31,melbourne,approvals_dwellings_total,2407,dwellings
2004-01-31,melbourne,approvals_dwellings_total,2871,dwellings
2004-02-29,melbourne,approvals_dwellings_total,2354,dwellings
2004-03-31,melbourne,approvals_dwellings_total,2696,dwellings
2004-04-30,melbourne,approvals_dwellings_total,2614,dwellings
2004-05-31,melbourne,approvals_dwellings_total,2884,dwellings
2004-06-30,melbourne,approvals_dwellings_total,2416,dwellings
2004-07-31,melbourne,approvals_dwellings_total,2439,dwellings
2004-08-31,melbourne,approvals_dwellings_total,2501,dwellings
2004-09-30,melbourne,approvals_dwellings_total,2329,dwellings
2004-10-31,melbourne,approvals_dwellings_total,2595,dwellings
2004-11-30,melbourne,approvals_dwellings_total,2539,dwellings
2004-12-31,melbourne,approvals_dwellings_total,1906,dwellings
2005-01-31,melbourne,approvals_dwellings_total,1614,dwellings
2005-02-28,melbourne,approvals_dwellings_total,2237,dwellings
2005-03-31,melbourne,approvals_dwellings_total,2393,dwellings
2005-04-30,melbourne,approvals_dwellings_total,2682,dwellings
2005-05-31,melbourne,approvals_dwellings_total,2931,dwellings
2005-06-30,melbourne,approvals_dwellings_total,3531,dwellings
2005-07-31,melbourne,approvals_dwellings_total,1828,dwellings
2005-08-31,melbourne,approvals_dwellings_total,2093,dwellings
2005-09-30,melbourne,approvals_dwellings_total,2092,dwellings
2005-10-31,melbourne,approvals_dwellings_total,2162,dwellings
2005-11-30,melbourne,approvals_dwellings_total,2469,dwellings
2005-12-31,melbourne,approvals_dwellings_total,1743,dwellings
2006-01-31,melbourne,approvals_dwellings_total,1539,dwellings
2006-02-28,melbourne,approvals_dwellings_total,2077,dwellings
2006-03-31,melbourne,approvals_dwellings_total,2680,dwellings
2006-04-30,melbourne,approvals_dwellings_total,1815,dwellings
2006-05-31,melbourne,approvals_dwellings_total,2626,dwellings
2006-06-30,melbourne,approvals_dwellings_total,2273,dwellings
2006-07-31,melbourne,approvals_dwellings_total,2512,dwellings
2006-08-31,melbourne,approvals_dwellings_total,2664,dwellings
2006-09-30,melbourne,approvals_dwellings_total,2137,dwellings
2006-10-31,melbourne,approvals_dwellings_total,2357,dwellings
2006-11-30,melbourne,approvals_dwellings_total,2434,dwellings
2006-12-31,melbourne,approvals_dwellings_total,1745,dwellings
2007-01-31,melbourne,approvals_dwellings_total,1507,dwellings
2007-02-28,melbourne,approvals_dwellings_total,2507,dwellings
2007-03-31,melbourne,approvals_dwellings_total,2294,dwellings
2007-04-30,melbourne,approvals_dwellings_total,2052,dwellings
2007-05-31,melbourne,approvals_dwellings_total,2701,dwellings
2007-06-30,melbourne,approvals_dwellings_total,2389,dwellings
2007-07-31,melbourne,approvals_dwellings_total,2719,dwellings
2007-08-31,melbourne,approvals_dwellings_total,2847,dwellings
2007-09-30,melbourne,approvals_dwellings_total,2900,dwellings
2007-10-31,melbourne,approvals_dwellings_total,3496,dwellings
2007-11-30,melbourne,approvals_dwellings_total,2663,dwellings
2007-12-31,melbourne,approvals_dwellings_total,2238,dwellings
2008-01-31,melbourne,approvals_dwellings_total,2152,dwellings
2008-02-29,melbourne,approvals_dwellings_total,2823,dwellings
2008-03-31,melbourne,approvals_dwellings_total,2436,dwellings
2008-04-30,melbourne,approvals_dwellings_total,2512,dwellings
2008-05-31,melbourne,approvals_dwellings_total,2806,dwellings
2008-06-30,melbourne,approvals_dwellings_total,2848,dwellings
2008-07-31,melbourne,approvals_dwellings_total,3206,dwellings
2008-08-31,melbourne,approvals_dwellings_total,2735,dwellings
2008-09-30,melbourne,approvals_dwellings_total,2782,dwellings
2008-10-31,melbourne,approvals_dwellings_total,3085,dwellings
2008-11-30,melbourne,approvals_dwellings_total,2194,dwellings
2008-12-31,melbourne,approvals_dwellings_total,2069,dwellings
2009-01-31,melbourne,approvals_dwellings_total,1875,dwellings
2009-02-28,melbourne,approvals_dwellings_total,2698,dwellings
2009-03-31,melbourne,approvals_dwellings_total,3284,dwellings
2009-04-30,melbourne,approvals_dwellings_total,2506,dwellings
2009-05-31,melbourne,approvals_dwellings_total,2369,dwellings
2009-06-30,melbourne,approvals_dwellings_total,3350,dwellings
2009-07-31,melbourne,approvals_dwellings_total,3966,dwellings
