date,region,metric,value,unit
1998-09-30,vic,output_building_construction,62.9,index
1998-12-31,vic,output_building_construction,63.9,index
1999-03-31,vic,output_building_construction,64.5,index
1999-06-30,vic,output_building_construction,65.4,index
1999-09-30,vic,output_building_construction,66.3,index
1999-12-31,vic,output_building_construction,67.9,index
2000-03-31,vic,output_building_construction,68.9,index
2000-06-30,vic,output_building_construction,69.4,index
2000-09-30,vic,output_building_construction,69.4,index
2000-12-31,vic,output_building_construction,70.3,index
2001-03-31,vic,output_building_construction,70.8,index
2001-06-30,vic,output_building_construction,70.8,index
2001-09-30,vic,output_building_construction,71.6,index
2001-12-31,vic,output_building_construction,72.3,index
2002-03-31,vic,output_building_construction,72.8,index
2002-06-30,vic,output_building_construction,73.1,index
2002-09-30,vic,output_building_construction,73.3,index
2002-12-31,vic,output_building_construction,73.7,index
2003-03-31,vic,output_building_construction,75.1,index
2003-06-30,vic,output_building_construction,77.1,index
2003-09-30,vic,output_building_construction,77.5,index
2003-12-31,vic,output_building_construction,77.5,index
2004-03-31,vic,output_building_construction,79.1,index
2004-06-30,vic,output_building_construction,80.8,index
2004-09-30,vic,output_building_construction,82.2,index
2004-12-31,vic,output_building_construction,82.8,index
2005-03-31,vic,output_building_construction,83.8,index
2005-06-30,vic,output_building_construction,83.7,index
2005-09-30,vic,output_building_construction,84.5,index
2005-12-31,vic,output_building_construction,84.1,index
2006-03-31,vic,output_building_construction,83.9,index
2006-06-30,vic,output_building_construction,84.6,index
2006-09-30,vic,output_building_construction,84.2,index
2006-12-31,vic,output_building_construction,86.0,index
2007-03-31,vic,output_building_construction,87.3,index
2007-06-30,vic,output_building_construction,88.9,index
2007-09-30,vic,output_building_construction,90.5,index
2007-12-31,vic,output_building_construction,92.1,index
2008-03-31,vic,output_building_construction,94.4,index
2008-06-30,vic,output_building_construction,94.8,index
2008-09-30,vic,output_building_construction,96.0,index
2008-12-31,vic,output_building_construction,93.0,index
2009-03-31,vic,output_building_construction,91.2,index
2009-06-30,vic,output_building_construction,90.4,index
2009-09-30,vic,output_building_construction,92.7,index
2009-12-31,vic,output_building_construction,93.2,index
2010-03-31,vic,output_building_construction,93.7,index
2010-06-30,vic,output_building_construction,94.8,index
2010-09-30,vic,output_building_construction,97.1,index
2010-12-31,vic,output_building_construction,98.2,index
2011-03-31,vic,output_building_construction,98.3,index
2011-06-30,vic,output_building_construction,100.6,index
2011-09-30,vic,output_building_construction,100.6,index
2011-12-31,vic,output_building_construction,100.4,index
2012-03-31,vic,output_building_construction,99.5,index
2012-06-30,vic,output_building_construction,99.5,index
2012-09-30,vic,output_building_construction,98.8,index
2012-12-31,vic,output_building_construction,98.5,index
2013-03-31,vic,output_building_construction,100.8,index
2013-06-30,vic,output_building_construction,101.2,index
2013-09-30,vic,output_building_construction,101.0,index
2013-12-31,vic,output_building_construction,100.8,index
2014-03-31,vic,output_building_construction,100.3,index
2014-06-30,vic,output_building_construction,102.7,index
2014-09-30,vic,output_building_construction,103.4,index
2014-12-31,vic,output_building_construction,103.8,index
2015-03-31,vic,output_building_construction,103.9,index
2015-06-30,vic,output_building_construction,104.8,index
2015-09-30,vic,output_building_construction,104.8,index
2015-12-31,vic,output_building_construction,105.2,index
2016-03-31,vic,output_building_construction,105.4,index
2016-06-30,vic,output_building_construction,105.5,index
2016-09-30,vic,output_building_construction,105.4,index
2016-12-31,vic,output_building_construction,105.7,index
2017-03-31,vic,output_building_construction,106.3,index
2017-06-30,vic,output_building_construction,106.8,index
2017-09-30,vic,output_building_construction,107.7,index
2017-12-31,vic,output_building_construction,108.2,index
2018-03-31,vic,output_building_construction,108.6,index
2018-06-30,vic,output_building_construction,111.0,index
2018-09-30,vic,output_building_construction,111.0,index
2018-12-31,vic,output_building_construction,111.5,index
2019-03-31,vic,output_building_construction,111.0,index
2019-06-30,vic,output_building_construction,111.5,index
2019-09-30,vic,output_building_construction,111.4,index
2019-12-31,vic,output_building_construction,112.2,index
2020-03-31,vic,output_building_construction,112.4,index
2020-06-30,vic,output_building_construction,112.8,index
2020-09-30,vic,output_building_construction,113.1,index
2020-12-31,vic,output_building_construction,114.1,index
2021-03-31,vic,output_building_construction,114.7,index
2021-06-30,vic,output_building_construction,115.6,index
2021-09-30,vic,output_building_construction,116.7,index
2021-12-31,vic,output_building_construction,118.1,index
2022-03-31,vic,output_building_construction,121.3,index
2022-06-30,vic,output_building_construction,126.3,index
2022-09-30,vic,output_building_construction,129.8,index
2022-12-31,vic,output_building_construction,133.2,index
2023-03-31,vic,output_building_construction,133.2,index
2023-06-30,vic,output_building_construction,134.5,index
2023-09-30,vic,output_building_construction,135.6,index
2023-12-31,vic,output_building_construction,140.5,index
2024-03-31,vic,output_building_construction,142.1,index
2024-06-30,vic,output_building_construction,143.3,index
2024-09-30,vic,output_building_construction,143.9,index
2024-12-31,vic,output_building_construction,144.3,index
2025-03-31,vic,output_building_construction,143.7,index
2025-06-30,vic,output_building_construction,145.0,index
2025-09-30,vic,output_building_construction,146.5,index
2025-12-31,vic,output_building_construction,147.8,index
2026-03-31,vic,output_building_construction,149.7,index
1998-09-30,vic,output_house_construction,63.6,index
1998-12-31,vic,output_house_construction,64.9,index
1999-03-31,vic,output_house_construction,65.9,index
1999-06-30,vic,output_house_construction,66.7,index
1999-09-30,vic,output_house_construction,68.2,index
1999-12-31,vic,output_house_construction,70.6,index
2000-03-31,vic,output_house_construction,72.1,index
2000-06-30,vic,output_house_construction,72.3,index
2000-09-30,vic,output_house_construction,71.6,index
2000-12-31,vic,output_house_construction,71.9,index
2001-03-31,vic,output_house_construction,72.8,index
2001-06-30,vic,output_house_construction,72.6,index
2001-09-30,vic,output_house_construction,73.8,index
2001-12-31,vic,output_house_construction,75.2,index
2002-03-31,vic,output_house_construction,75.1,index
2002-06-30,vic,output_house_construction,75.7,index
2002-09-30,vic,output_house_construction,75.9,index
2002-12-31,vic,output_house_construction,76.4,index
2003-03-31,vic,output_house_construction,78.1,index
2003-06-30,vic,output_house_construction,80.1,index
2003-09-30,vic,output_house_construction,80.4,index
2003-12-31,vic,output_house_construction,80.2,index
2004-03-31,vic,output_house_construction,80.7,index
2004-06-30,vic,output_house_construction,81.5,index
2004-09-30,vic,output_house_construction,82.6,index
2004-12-31,vic,output_house_construction,83.0,index
2005-03-31,vic,output_house_construction,84.1,index
2005-06-30,vic,output_house_construction,84.0,index
2005-09-30,vic,output_house_construction,85.8,index
2005-12-31,vic,output_house_construction,85.8,index
2006-03-31,vic,output_house_construction,85.0,index
2006-06-30,vic,output_house_construction,85.5,index
2006-09-30,vic,output_house_construction,84.2,index
2006-12-31,vic,output_house_construction,85.4,index
2007-03-31,vic,output_house_construction,86.0,index
2007-06-30,vic,output_house_construction,86.5,index
2007-09-30,vic,output_house_construction,87.3,index
2007-12-31,vic,output_house_construction,89.1,index
2008-03-31,vic,output_house_construction,91.1,index
2008-06-30,vic,output_house_construction,91.5,index
2008-09-30,vic,output_house_construction,92.0,index
2008-12-31,vic,output_house_construction,90.7,index
2009-03-31,vic,output_house_construction,89.7,index
2009-06-30,vic,output_house_construction,91.6,index
2009-09-30,vic,output_house_construction,94.6,index
2009-12-31,vic,output_house_construction,95.5,index
2010-03-31,vic,output_house_construction,96.0,index
2010-06-30,vic,output_house_construction,97.0,index
2010-09-30,vic,output_house_construction,97.5,index
2010-12-31,vic,output_house_construction,98.2,index
2011-03-31,vic,output_house_construction,99.5,index
2011-06-30,vic,output_house_construction,99.9,index
2011-09-30,vic,output_house_construction,100.3,index
2011-12-31,vic,output_house_construction,100.0,index
2012-03-31,vic,output_house_construction,99.8,index
2012-06-30,vic,output_house_construction,99.9,index
2012-09-30,vic,output_house_construction,98.2,index
2012-12-31,vic,output_house_construction,96.3,index
2013-03-31,vic,output_house_construction,101.2,index
2013-06-30,vic,output_house_construction,102.0,index
2013-09-30,vic,output_house_construction,101.4,index
2013-12-31,vic,output_house_construction,102.2,index
2014-03-31,vic,output_house_construction,101.0,index
2014-06-30,vic,output_house_construction,104.2,index
2014-09-30,vic,output_house_construction,105.5,index
2014-12-31,vic,output_house_construction,106.4,index
2015-03-31,vic,output_house_construction,106.4,index
2015-06-30,vic,output_house_construction,108.5,index
2015-09-30,vic,output_house_construction,109.5,index
2015-12-31,vic,output_house_construction,109.9,index
2016-03-31,vic,output_house_construction,110.4,index
2016-06-30,vic,output_house_construction,111.4,index
2016-09-30,vic,output_house_construction,112.4,index
2016-12-31,vic,output_house_construction,113.6,index
2017-03-31,vic,output_house_construction,115.2,index
2017-06-30,vic,output_house_construction,116.6,index
2017-09-30,vic,output_house_construction,119.1,index
2017-12-31,vic,output_house_construction,120.4,index
2018-03-31,vic,output_house_construction,121.1,index
2018-06-30,vic,output_house_construction,123.8,index
2018-09-30,vic,output_house_construction,122.5,index
2018-12-31,vic,output_house_construction,122.8,index
2019-03-31,vic,output_house_construction,121.0,index
2019-06-30,vic,output_house_construction,120.0,index
2019-09-30,vic,output_house_construction,119.8,index
2019-12-31,vic,output_house_construction,122.0,index
2020-03-31,vic,output_house_construction,122.7,index
2020-06-30,vic,output_house_construction,122.0,index
2020-09-30,vic,output_house_construction,122.8,index
2020-12-31,vic,output_house_construction,124.7,index
2021-03-31,vic,output_house_construction,126.6,index
2021-06-30,vic,output_house_construction,127.2,index
2021-09-30,vic,output_house_construction,130.2,index
2021-12-31,vic,output_house_construction,132.9,index
2022-03-31,vic,output_house_construction,139.0,index
2022-06-30,vic,output_house_construction,149.7,index
2022-09-30,vic,output_house_construction,156.4,index
2022-12-31,vic,output_house_construction,157.5,index
2023-03-31,vic,output_house_construction,155.7,index
2023-06-30,vic,output_house_construction,157.7,index
2023-09-30,vic,output_house_construction,157.8,index
2023-12-31,vic,output_house_construction,158.9,index
2024-03-31,vic,output_house_construction,160.7,index
2024-06-30,vic,output_house_construction,161.3,index
2024-09-30,vic,output_house_construction,162.1,index
2024-12-31,vic,output_house_construction,160.7,index
2025-03-31,vic,output_house_construction,157.6,index
2025-06-30,vic,output_house_construction,158.9,index
2025-09-30,vic,output_house_construction,160.3,index
2025-12-31,vic,output_house_construction,161.9,index
2026-03-31,vic,output_house_construction,163.5,index
1996-09-30,vic,output_other_residential,59.5,index
1996-12-31,vic,output_other_residential,59.6,index
1997-03-31,vic,output_other_residential,59.9,index
1997-06-30,vic,output_other_residential,60.1,index
1997-09-30,vic,output_other_residential,60.3,index
1997-12-31,vic,output_other_residential,60.5,index
1998-03-31,vic,output_other_residential,61.3,index
1998-06-30,vic,output_other_residential,61.7,index
1998-09-30,vic,output_other_residential,62.1,index
1998-12-31,vic,output_other_residential,62.9,index
1999-03-31,vic,output_other_residential,63.4,index
1999-06-30,vic,output_other_residential,64.2,index
1999-09-30,vic,output_other_residential,65.0,index
1999-12-31,vic,output_other_residential,66.2,index
2000-03-31,vic,output_other_residential,66.7,index
2000-06-30,vic,output_other_residential,67.4,index
2000-09-30,vic,output_other_residential,68.4,index
2000-12-31,vic,output_other_residential,70.1,index
2001-03-31,vic,output_other_residential,70.1,index
2001-06-30,vic,output_other_residential,70.3,index
2001-09-30,vic,output_other_residential,70.6,index
2001-12-31,vic,output_other_residential,70.6,index
2002-03-31,vic,output_other_residential,72.1,index
2002-06-30,vic,output_other_residential,72.3,index
2002-09-30,vic,output_other_residential,72.4,index
2002-12-31,vic,output_other_residential,72.6,index
2003-03-31,vic,output_other_residential,73.8,index
2003-06-30,vic,output_other_residential,75.9,index
2003-09-30,vic,output_other_residential,76.4,index
2003-12-31,vic,output_other_residential,76.9,index
2004-03-31,vic,output_other_residential,79.6,index
2004-06-30,vic,output_other_residential,81.4,index
2004-09-30,vic,output_other_residential,82.4,index
2004-12-31,vic,output_other_residential,83.3,index
2005-03-31,vic,output_other_residential,84.1,index
2005-06-30,vic,output_other_residential,83.8,index
2005-09-30,vic,output_other_residential,83.6,index
2005-12-31,vic,output_other_residential,82.8,index
2006-03-31,vic,output_other_residential,83.1,index
2006-06-30,vic,output_other_residential,84.5,index
2006-09-30,vic,output_other_residential,84.9,index
2006-12-31,vic,output_other_residential,86.5,index
2007-03-31,vic,output_other_residential,87.3,index
2007-06-30,vic,output_other_residential,89.8,index
2007-09-30,vic,output_other_residential,92.5,index
2007-12-31,vic,output_other_residential,93.7,index
2008-03-31,vic,output_other_residential,96.5,index
2008-06-30,vic,output_other_residential,97.1,index
2008-09-30,vic,output_other_residential,98.9,index
2008-12-31,vic,output_other_residential,94.6,index
2009-03-31,vic,output_other_residential,92.2,index
2009-06-30,vic,output_other_residential,87.9,index
2009-09-30,vic,output_other_residential,89.4,index
2009-12-31,vic,output_other_residential,89.3,index
2010-03-31,vic,output_other_residential,89.5,index
2010-06-30,vic,output_other_residential,90.4,index
2010-09-30,vic,output_other_residential,95.7,index
2010-12-31,vic,output_other_residential,97.0,index
2011-03-31,vic,output_other_residential,95.5,index
2011-06-30,vic,output_other_residential,100.8,index
2011-09-30,vic,output_other_residential,100.6,index
2011-12-31,vic,output_other_residential,100.6,index
2012-03-31,vic,output_other_residential,99.4,index
2012-06-30,vic,output_other_residential,99.4,index
2012-09-30,vic,output_other_residential,99.4,index
2012-12-31,vic,output_other_residential,101.0,index
2013-03-31,vic,output_other_residential,101.0,index
2013-06-30,vic,output_other_residential,100.9,index
2013-09-30,vic,output_other_residential,100.9,index
2013-12-31,vic,output_other_residential,100.1,index
2014-03-31,vic,output_other_residential,100.1,index
2014-06-30,vic,output_other_residential,101.7,index
2014-09-30,vic,output_other_residential,101.8,index
2014-12-31,vic,output_other_residential,101.8,index
2015-03-31,vic,output_other_residential,101.9,index
2015-06-30,vic,output_other_residential,101.9,index
2015-09-30,vic,output_other_residential,100.2,index
2015-12-31,vic,output_other_residential,100.7,index
2016-03-31,vic,output_other_residential,100.5,index
2016-06-30,vic,output_other_residential,99.9,index
2016-09-30,vic,output_other_residential,99.3,index
2016-12-31,vic,output_other_residential,99.2,index
2017-03-31,vic,output_other_residential,99.2,index
2017-06-30,vic,output_other_residential,99.2,index
2017-09-30,vic,output_other_residential,99.2,index
2017-12-31,vic,output_other_residential,99.3,index
2018-03-31,vic,output_other_residential,99.5,index
2018-06-30,vic,output_other_residential,101.7,index
2018-09-30,vic,output_other_residential,102.2,index
2018-12-31,vic,output_other_residential,102.8,index
2019-03-31,vic,output_other_residential,102.9,index
2019-06-30,vic,output_other_residential,104.1,index
2019-09-30,vic,output_other_residential,104.1,index
2019-12-31,vic,output_other_residential,104.1,index
2020-03-31,vic,output_other_residential,104.1,index
2020-06-30,vic,output_other_residential,105.1,index
2020-09-30,vic,output_other_residential,105.1,index
2020-12-31,vic,output_other_residential,105.4,index
2021-03-31,vic,output_other_residential,105.4,index
2021-06-30,vic,output_other_residential,106.5,index
2021-09-30,vic,output_other_residential,106.6,index
2021-12-31,vic,output_other_residential,107.2,index
2022-03-31,vic,output_other_residential,108.9,index
2022-06-30,vic,output_other_residential,111.0,index
2022-09-30,vic,output_other_residential,112.9,index
2022-12-31,vic,output_other_residential,117.6,index
2023-03-31,vic,output_other_residential,118.3,index
2023-06-30,vic,output_other_residential,119.1,index
