date,region,metric,value,unit
1966-09-30,melbourne,input_all_groups,9.2,index
1966-12-31,melbourne,input_all_groups,9.3,index
1967-03-31,melbourne,input_all_groups,9.3,index
1967-06-30,melbourne,input_all_groups,9.2,index
1967-09-30,melbourne,input_all_groups,9.3,index
1967-12-31,melbourne,input_all_groups,9.4,index
1968-03-31,melbourne,input_all_groups,9.4,index
1968-06-30,melbourne,input_all_groups,9.4,index
1968-09-30,melbourne,input_all_groups,9.5,index
1968-12-31,melbourne,input_all_groups,9.5,index
1969-03-31,melbourne,input_all_groups,9.6,index
1969-06-30,melbourne,input_all_groups,9.7,index
1969-09-30,melbourne,input_all_groups,9.8,index
1969-12-31,melbourne,input_all_groups,9.9,index
1970-03-31,melbourne,input_all_groups,9.9,index
1970-06-30,melbourne,input_all_groups,10.0,index
1970-09-30,melbourne,input_all_groups,10.0,index
1970-12-31,melbourne,input_all_groups,10.2,index
1971-03-31,melbourne,input_all_groups,10.6,index
1971-06-30,melbourne,input_all_groups,10.8,index
1971-09-30,melbourne,input_all_groups,10.8,index
1971-12-31,melbourne,input_all_groups,11.0,index
1972-03-31,melbourne,input_all_groups,11.0,index
1972-06-30,melbourne,input_all_groups,11.2,index
1972-09-30,melbourne,input_all_groups,11.4,index
1972-12-31,melbourne,input_all_groups,11.5,index
1973-03-31,melbourne,input_all_groups,11.8,index
1973-06-30,melbourne,input_all_groups,12.2,index
1973-09-30,melbourne,input_all_groups,12.8,index
1973-12-31,melbourne,input_all_groups,13.2,index
1974-03-31,melbourne,input_all_groups,13.8,index
1974-06-30,melbourne,input_all_groups,14.9,index
1974-09-30,melbourne,input_all_groups,15.9,index
1974-12-31,melbourne,input_all_groups,16.2,index
1975-03-31,melbourne,input_all_groups,16.7,index
1975-06-30,melbourne,input_all_groups,17.3,index
1975-09-30,melbourne,input_all_groups,17.8,index
1975-12-31,melbourne,input_all_groups,18.1,index
1976-03-31,melbourne,input_all_groups,18.6,index
1976-06-30,melbourne,input_all_groups,19.5,index
1976-09-30,melbourne,input_all_groups,20.0,index
1976-12-31,melbourne,input_all_groups,20.4,index
1977-03-31,melbourne,input_all_groups,21.0,index
