date,region,metric,value,unit
2022-12-31,melbourne,natural_increase,29022,persons
2023-12-31,melbourne,natural_increase,26266,persons
2024-12-31,melbourne,natural_increase,27898,persons
2025-12-31,melbourne,natural_increase,32416,persons
2022-12-31,melbourne,net_internal_migration,-36282,persons
2023-12-31,melbourne,net_internal_migration,-9466,persons
2024-12-31,melbourne,net_internal_migration,-10866,persons
2025-12-31,melbourne,net_internal_migration,-8554,persons
2022-12-31,melbourne,net_overseas_migration,60361,persons
2023-12-31,melbourne,net_overseas_migration,149271,persons
2024-12-31,melbourne,net_overseas_migration,119037,persons
2025-12-31,melbourne,net_overseas_migration,81168,persons
2022-12-31,melbourne,population_erp,5028420,persons
2023-12-31,melbourne,population_erp,5194491,persons
2024-12-31,melbourne,population_erp,5330560,persons
2025-12-31,melbourne,population_erp,5435590,persons
2022-12-31,regional_vic,natural_increase,2602,persons
2023-12-31,regional_vic,natural_increase,1789,persons
2024-12-31,regional_vic,natural_increase,2255,persons
2025-12-31,regional_vic,natural_increase,4100,persons
2022-12-31,regional_vic,net_internal_migration,5378,persons
2023-12-31,regional_vic,net_internal_migration,3452,persons
2024-12-31,regional_vic,net_internal_migration,6624,persons
2025-12-31,regional_vic,net_internal_migration,7777,persons
2022-12-31,regional_vic,net_overseas_migration,6329,persons
2023-12-31,regional_vic,net_overseas_migration,10625,persons
2024-12-31,regional_vic,net_overseas_migration,8844,persons
2025-12-31,regional_vic,net_overseas_migration,5991,persons
2022-12-31,regional_vic,population_erp,1586812,persons
2023-12-31,regional_vic,population_erp,1602678,persons
2024-12-31,regional_vic,population_erp,1620401,persons
2025-12-31,regional_vic,population_erp,1638269,persons
