date,region,metric,value,unit
2020-09-30,melbourne,affordable_share,7.9,percent
2020-12-31,melbourne,affordable_share,7.1,percent
2021-03-31,melbourne,affordable_share,6.2,percent
2021-06-30,melbourne,affordable_share,9.3,percent
2021-09-30,melbourne,affordable_share,10.9,percent
2021-12-31,melbourne,affordable_share,10.299999999999999,percent
2022-03-31,melbourne,affordable_share,8.3,percent
2022-06-30,melbourne,affordable_share,8.5,percent
2022-09-30,melbourne,affordable_share,8.0,percent
2022-12-31,melbourne,affordable_share,9.2,percent
2023-03-31,melbourne,affordable_share,7.1,percent
2023-06-30,melbourne,affordable_share,6.7,percent
2023-09-30,melbourne,affordable_share,5.1,percent
2023-12-31,melbourne,affordable_share,8.6,percent
2024-03-31,melbourne,affordable_share,6.6000000000000005,percent
2024-06-30,melbourne,affordable_share,6.7,percent
2024-09-30,melbourne,affordable_share,6.4,percent
2024-12-31,melbourne,affordable_share,9.6,percent
2025-03-31,melbourne,affordable_share,8.6,percent
2025-06-30,melbourne,affordable_share,10.2,percent
2025-09-30,melbourne,affordable_share,9.700000000000001,percent
1999-06-30,melbourne,median_rent,170.0,AUD/week
1999-09-30,melbourne,median_rent,175.0,AUD/week
1999-12-31,melbourne,median_rent,180.0,AUD/week
2000-03-31,melbourne,median_rent,180.0,AUD/week
2000-06-30,melbourne,median_rent,180.0,AUD/week
2000-09-30,melbourne,median_rent,185.0,AUD/week
2000-12-31,melbourne,median_rent,185.0,AUD/week
2001-03-31,melbourne,median_rent,195.0,AUD/week
2001-06-30,melbourne,median_rent,190.0,AUD/week
2001-09-30,melbourne,median_rent,195.0,AUD/week
2001-12-31,melbourne,median_rent,200.0,AUD/week
2002-03-31,melbourne,median_rent,201.0,AUD/week
2002-06-30,melbourne,median_rent,200.0,AUD/week
2002-09-30,melbourne,median_rent,200.0,AUD/week
2002-12-31,melbourne,median_rent,205.0,AUD/week
2003-03-31,melbourne,median_rent,210.0,AUD/week
2003-06-30,melbourne,median_rent,210.0,AUD/week
2003-09-30,melbourne,median_rent,210.0,AUD/week
2003-12-31,melbourne,median_rent,210.0,AUD/week
2004-03-31,melbourne,median_rent,220.0,AUD/week
2004-06-30,melbourne,median_rent,215.0,AUD/week
2004-09-30,melbourne,median_rent,220.0,AUD/week
2004-12-31,melbourne,median_rent,220.0,AUD/week
2005-03-31,melbourne,median_rent,230.0,AUD/week
2005-06-30,melbourne,median_rent,225.0,AUD/week
2005-09-30,melbourne,median_rent,225.0,AUD/week
2005-12-31,melbourne,median_rent,230.0,AUD/week
2006-03-31,melbourne,median_rent,240.0,AUD/week
2006-06-30,melbourne,median_rent,240.0,AUD/week
2006-09-30,melbourne,median_rent,240.0,AUD/week
2006-12-31,melbourne,median_rent,250.0,AUD/week
2007-03-31,melbourne,median_rent,260.0,AUD/week
2007-06-30,melbourne,median_rent,260.0,AUD/week
2007-09-30,melbourne,median_rent,270.0,AUD/week
2007-12-31,melbourne,median_rent,280.0,AUD/week
2008-03-31,melbourne,median_rent,290.0,AUD/week
2008-06-30,melbourne,median_rent,300.0,AUD/week
2008-09-30,melbourne,median_rent,300.0,AUD/week
2008-12-31,melbourne,median_rent,310.0,AUD/week
2009-03-31,melbourne,median_rent,320.0,AUD/week
2009-06-30,melbourne,median_rent,315.0,AUD/week
2009-09-30,melbourne,median_rent,320.0,AUD/week
2009-12-31,melbourne,median_rent,320.0,AUD/week
2010-03-31,melbourne,median_rent,340.0,AUD/week
2010-06-30,melbourne,median_rent,330.0,AUD/week
2010-09-30,melbourne,median_rent,340.0,AUD/week
2010-12-31,melbourne,median_rent,340.0,AUD/week
2011-03-31,melbourne,median_rent,350.0,AUD/week
2011-06-30,melbourne,median_rent,350.0,AUD/week
2011-09-30,melbourne,median_rent,350.0,AUD/week
2011-12-31,melbourne,median_rent,350.0,AUD/week
2012-03-31,melbourne,median_rent,350.0,AUD/week
2012-06-30,melbourne,median_rent,350.0,AUD/week
2012-09-30,melbourne,median_rent,350.0,AUD/week
2012-12-31,melbourne,median_rent,350.0,AUD/week
2013-03-31,melbourne,median_rent,360.0,AUD/week
2013-06-30,melbourne,median_rent,350.0,AUD/week
2013-09-30,melbourne,median_rent,350.0,AUD/week
2013-12-31,melbourne,median_rent,360.0,AUD/week
2014-03-31,melbourne,median_rent,370.0,AUD/week
2014-06-30,melbourne,median_rent,360.0,AUD/week
2014-09-30,melbourne,median_rent,365.0,AUD/week
2014-12-31,melbourne,median_rent,370.0,AUD/week
2015-03-31,melbourne,median_rent,375.0,AUD/week
2015-06-30,melbourne,median_rent,370.0,AUD/week
2015-09-30,melbourne,median_rent,375.0,AUD/week
2015-12-31,melbourne,median_rent,380.0,AUD/week
2016-03-31,melbourne,median_rent,390.0,AUD/week
2016-06-30,melbourne,median_rent,380.0,AUD/week
2016-09-30,melbourne,median_rent,390.0,AUD/week
2016-12-31,melbourne,median_rent,390.0,AUD/week
2017-03-31,melbourne,median_rent,400.0,AUD/week
2017-06-30,melbourne,median_rent,400.0,AUD/week
2017-09-30,melbourne,median_rent,400.0,AUD/week
2017-12-31,melbourne,median_rent,400.0,AUD/week
2018-03-31,melbourne,median_rent,420.0,AUD/week
2018-06-30,melbourne,median_rent,410.0,AUD/week
2018-09-30,melbourne,median_rent,415.0,AUD/week
2018-12-31,melbourne,median_rent,420.0,AUD/week
2019-03-31,melbourne,median_rent,425.0,AUD/week
2019-06-30,melbourne,median_rent,420.0,AUD/week
2019-09-30,melbourne,median_rent,420.0,AUD/week
2019-12-31,melbourne,median_rent,420.0,AUD/week
2020-03-31,melbourne,median_rent,430.0,AUD/week
2020-06-30,melbourne,median_rent,400.0,AUD/week
2020-09-30,melbourne,median_rent,400.0,AUD/week
2020-12-31,melbourne,median_rent,400.0,AUD/week
2021-03-31,melbourne,median_rent,400.0,AUD/week
2021-06-30,melbourne,median_rent,390.0,AUD/week
2021-09-30,melbourne,median_rent,400.0,AUD/week
2021-12-31,melbourne,median_rent,400.0,AUD/week
2022-03-31,melbourne,median_rent,420.0,AUD/week
2022-06-30,melbourne,median_rent,430.0,AUD/week
2022-09-30,melbourne,median_rent,450.0,AUD/week
2022-12-31,melbourne,median_rent,450.0,AUD/week
2023-03-31,melbourne,median_rent,485.0,AUD/week
2023-06-30,melbourne,median_rent,500.0,AUD/week
2023-09-30,melbourne,median_rent,520.0,AUD/week
2023-12-31,melbourne,median_rent,530.0,AUD/week
2024-03-31,melbourne,median_rent,550.0,AUD/week
2024-06-30,melbourne,median_rent,550.0,AUD/week
2024-09-30,melbourne,median_rent,560.0,AUD/week
2024-12-31,melbourne,median_rent,550.0,AUD/week
2025-03-31,melbourne,median_rent,580.0,AUD/week
2025-06-30,melbourne,median_rent,560.0,AUD/week
2025-09-30,melbourne,median_rent,575.0,AUD/week
1999-06-30,melbourne,rent_1br_flat,130.0,AUD/week
1999-09-30,melbourne,rent_1br_flat,135.0,AUD/week
1999-12-31,melbourne,rent_1br_flat,135.0,AUD/week
2000-03-31,melbourne,rent_1br_flat,138.0,AUD/week
2000-06-30,melbourne,rent_1br_flat,140.0,AUD/week
2000-09-30,melbourne,rent_1br_flat,145.0,AUD/week
2000-12-31,melbourne,rent_1br_flat,150.0,AUD/week
2001-03-31,melbourne,rent_1br_flat,150.0,AUD/week
2001-06-30,melbourne,rent_1br_flat,150.0,AUD/week
2001-09-30,melbourne,rent_1br_flat,160.0,AUD/week
